[l, m, r, blocks] = [1, 500, 1000, 0]
[l, m, r, blocks] = [1, 250, 500, 0]
[l, m, r, blocks] = [1, 125, 250, 0]
[l, m, r, blocks] = [1, 63, 125, 0]
[l, m, r, blocks] = [1, 32, 63, 0]
[l, m, r, blocks] = [1, 16, 32, 2]
[l, m, r, blocks] = [1, 8, 16, 5]
[l, m, r, blocks] = [1, 4, 8, 9]
[l, m, r, blocks] = [5, 6, 8, 7]
[l, m, r, blocks] = [7, 7, 8, 7]
[l, m, r, blocks] = [1, 500, 1000, 0]
[l, m, r, blocks] = [1, 250, 500, 0]
[l, m, r, blocks] = [1, 125, 250, 0]
[l, m, r, blocks] = [1, 63, 125, 0]
[l, m, r, blocks] = [1, 32, 63, 0]
[l, m, r, blocks] = [1, 16, 32, 0]
[l, m, r, blocks] = [1, 8, 16, 4]
[l, m, r, blocks] = [1, 4, 8, 8]
[l, m, r, blocks] = [5, 6, 8, 4]
[l, m, r, blocks] = [5, 5, 6, 8]
[l, m, r, blocks] = [1, 500, 1000, 0]
[l, m, r, blocks] = [1, 250, 500, 0]
[l, m, r, blocks] = [1, 125, 250, 0]
[l, m, r, blocks] = [1, 63, 125, 0]
[l, m, r, blocks] = [1, 32, 63, 0]
[l, m, r, blocks] = [1, 16, 32, 10]
[l, m, r, blocks] = [1, 8, 16, 16]
[l, m, r, blocks] = [9, 12, 16, 10]
[l, m, r, blocks] = [9, 10, 12, 16]
[l, m, r, blocks] = [11, 11, 12, 10]

real	0m0.051s
user	0m0.001s
sys	0m0.002s
